NtsbNo,ProbableCause,Findings,Event.Id,narratives.narr_cause,safetyrecs2026-02-28_15-34.Recommendation
DCA17LA183,An encounter with convective turbulence while maneuvering to avoid conflicting traffic.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20170824X42626,An encounter with convective turbulence while maneuvering to avoid conflicting traffic.,
ENG17IA036,"A No. 1 (left) engine undercowl fire caused by a fuel nozzle installation error during engine overhaul at Delta TechOps. A fuel nozzle b-nut was cross threaded, which allowed fuel to leak on hot engine case surfaces and subsequently ignite.",Aircraft - Aircraft power plant - Engine fuel and control - Fuel injector nozzle - Incorrect service/maintenance,20170907X71900,"A No. 1 (left) engine undercowl fire caused by a fuel nozzle installation error during engine overhaul at Delta TechOps. A fuel nozzle b-nut was cross threaded, which allowed fuel to leak on hot engine case surfaces and subsequently ignite.",
DCA17CA194,an inadvertent encounter with turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel,20170911X34051,an inadvertent encounter with turbulence.,
DCA17CA195,the B737 flight crew's misjudgment of the clearance between their wingtip and the B767 horizontal stabilizer.,Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew,20170913X72254,the B737 flight crew's misjudgment of the clearance between their wingtip and the B767 horizontal stabilizer.,
DCA17CA197,the tug operator's initiation of a right turn onto the perpendicular terminal road in proximity to the airplane.,Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew,20170920X64035,the tug operator's initiation of a right turn onto the perpendicular terminal road in proximity to the airplane.,
DCA17CA214,"The failure N841NNs captain to maintain appropriate clearance from N982VJ, which was stopped on the taxiway.",Personnel issues - Action/decision - Action - Incorrect action performance - Pilot,20171002X95003,"The failure N841NNs captain to maintain appropriate clearance from N982VJ, which was stopped on the taxiway.",
DCA18CA001,"the mechanical failure of the tugs fuel governor, which made it difficult for the ramp agent to stop the tug.  Contributing to the accident was the lack of guidance on how ground personnel were to handle vehicle malfunctions.","Aircraft - Aircraft handling/service - Loading - (general) - Not serviced/maintained, Organizational issues - Support/oversight/monitoring - Training - Initial training - Training organization",20171003X23920,"the mechanical failure of the tugs fuel governor, which made it difficult for the ramp agent to stop the tug.  Contributing to the accident was the lack of guidance on how ground personnel were to handle vehicle malfunctions.",
DCA17CA217,the flight attendant accidentally pouring hot water on his hand which resulted in a 2nd degree burn.,Personnel issues - Task performance - (general) - (general) - Cabin crew,20171005X44145,the flight attendant accidentally pouring hot water on his hand which resulted in a 2nd degree burn.,
ENG18IA003,"The loss of control of the left-hand engine and the subsequent thermal damage to the left wing on landing during engine reverse operation was due to a blockage of the variable stator vane torque motor filter that resulted in the engine�s electronic engine control to improper schedule maximum fuel flow resulting in flames out the engine�s exhaust tailpipe that impinged the wing.
Contributing to the event were: 
-	The presence of water containing dissolved aluminum sulfate (alum) in the airplane fuel system that initiated a sudden blockage of the engine VSV TM SP filter. 
-	The maintenance provider omitted to sump the fuel tanks during the 10-day period of inactivity of the airplane. 
-	While the engine was in an internally stalled condition during the reverse and post-reverse thrust operation, the electronic engine control logic allowed the fuel metering unit to supply maximum fuel flow despite the throttle at idle speed.","Aircraft - Aircraft handling/service - Maintenance/inspections - Scheduled maint checks - Not serviced/maintained, Aircraft - Aircraft power plant - Engine fuel and control - Fuel controlling system - Not specified, Aircraft - Fluids/misc hardware - Fluids - Fuel - Unknown/Not determined",20171108X55532,"The loss of control of the left-hand engine and the subsequent thermal damage to the left wing on landing during engine reverse operation was due to a blockage of the variable stator vane torque motor filter that resulted in the engine�s electronic engine control to improper schedule maximum fuel flow resulting in flames out the engine�s exhaust tailpipe that impinged the wing.
Contributing to the event were: 
-	The presence of water containing dissolved aluminum sulfate (alum) in the airplane fuel system that initiated a sudden blockage of the engine VSV TM SP filter. 
-	The maintenance provider omitted to sump the fuel tanks during the 10-day period of inactivity of the airplane. 
-	While the engine was in an internally stalled condition during the reverse and post-reverse thrust operation, the electronic engine control logic allowed the fuel metering unit to supply maximum fuel flow despite the throttle at idle speed.",
DCA18IA026,"The flight crewmembers� failure to properly monitor the airplane�s flightpath, which caused the approach to become unstabilized and resulted in the airplane�s descent below the decision altitude while misaligned with the localizer course. Contributing to the incident were the first officer�s delay in setting go-around thrust after the captain called for the go-around and the captain�s failure to take control of the airplane after go-around thrust was not immediately set, both of which caused the airplane to come within about 50 ft vertically of an occupied taxiway.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Action - Delayed action - Copilot, Personnel issues - Action/decision - Action - Lack of action - Pilot",20171201X14308,"The flight crewmembers� failure to properly monitor the airplane�s flightpath, which caused the approach to become unstabilized and resulted in the airplane�s descent below the decision altitude while misaligned with the localizer course. Contributing to the incident were the first officer�s delay in setting go-around thrust after the captain called for the go-around and the captain�s failure to take control of the airplane after go-around thrust was not immediately set, both of which caused the airplane to come within about 50 ft vertically of an occupied taxiway.",
DCA18CA042,failure of the flight crew to confirm the left engine throttle lever was at idle during engine start.,Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew,20171212X00211,failure of the flight crew to confirm the left engine throttle lever was at idle during engine start.,
DCA18CA043,"The failure of the flight crew of N9011P to maintain an appropriate clearance from N344PP, which was stopped on the taxiway.",Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew,20171212X50255,"The failure of the flight crew of N9011P to maintain an appropriate clearance from N344PP, which was stopped on the taxiway.",
DCA18CA049,the abrupt pitch up maneuver which caused the flight attendant to lose her balance and injure her ankle.,Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew,20171219X90251,the abrupt pitch up maneuver which caused the flight attendant to lose her balance and injure her ankle.,
DCA18CA055,an inadvertent encounter with convective turbulence that resulted in a flight attendant injury.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20171220X52223,an inadvertent encounter with convective turbulence that resulted in a flight attendant injury.,
DCA18CA056,"failure of a cargo tie-down fastener, resulting in unsecured cargo striking the pressure bulkhead.",Aircraft - Aircraft structures - Fuselage - Seat/cargo attach fitting - Failure,20171226X41907,"failure of a cargo tie-down fastener, resulting in unsecured cargo striking the pressure bulkhead.",
OPS18IA003,The incident was caused by the air traffic controller assigning an altitude below the published procedure altitude for the approach segment to be flown prior to the aircraft being established on a published portion of the approach. Contributing to the incident was the flight crew's failure to identify the appropriate altitude for the segment of the approach being flown and query the controller before subsequent decent below the published minimum altitude.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel",20180102X34923,The incident was caused by the air traffic controller assigning an altitude below the published procedure altitude for the approach segment to be flown prior to the aircraft being established on a published portion of the approach. Contributing to the incident was the flight crew's failure to identify the appropriate altitude for the segment of the approach being flown and query the controller before subsequent decent below the published minimum altitude.,
DCA18CA074,The provisioning agent's lack of situational awareness while stepping from the airplane to the provisioning van.  Contributing to the accident was the provisioning vans failed switch.,"Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Contributed to outcome, Personnel issues - Psychological - Attention/monitoring - Attention - Ground crew",20180109X22437,The provisioning agent's lack of situational awareness while stepping from the airplane to the provisioning van.  Contributing to the accident was the provisioning vans failed switch.,
DCA18IA081,the flight crew's misidentification of the taxiway as the landing runway due to the failure of the runway lighting that caused only the taxiway lights to be illuminated.,"Environmental issues - Operating environment - Airport facilities/design - Airport lighting - Contributed to outcome, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew",20180116X12236,the flight crew's misidentification of the taxiway as the landing runway due to the failure of the runway lighting that caused only the taxiway lights to be illuminated.,
DCA18IA092,"the fracture of a fan blade due to P&W's continued classification of the TAI inspection process as a new and emerging technology that permitted them to continue accomplishing the inspection without having to develop a formal, defined initial and recurrent training program or an inspector certification program.  The lack of training resulted in the inspector making an incorrect evaluation of an indication that resulted in a blade with a crack being returned to service where it eventually fractured.  

Contributing to the fracture of the fan blade was the lack of feedback from the process engineers on the fan blades the inspectors sent to the process engineers for evaluation of indications that they had found.","Organizational issues - Support/oversight/monitoring - Oversight - Oversight of maintenance - Maintenance provider, Organizational issues - Support/oversight/monitoring - Training - Initial training - Maintenance provider",20180213X95634,"the fracture of a fan blade due to P&W's continued classification of the TAI inspection process as a new and emerging technology that permitted them to continue accomplishing the inspection without having to develop a formal, defined initial and recurrent training program or an inspector certification program.  The lack of training resulted in the inspector making an incorrect evaluation of an indication that resulted in a blade with a crack being returned to service where it eventually fractured.  

Contributing to the fracture of the fan blade was the lack of feedback from the process engineers on the fan blades the inspectors sent to the process engineers for evaluation of indications that they had found.",
DCA18CA102,an inadvertent encounter with clear air�turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel,20180228X30813,an inadvertent encounter with clear air�turbulence.,
DCA18LA163,"The flight crew�s delayed landing after an in-flight engine fire, which reignited after both fire bottles were discharged and resulted in substantial damage to an engine pylon. Contributing to the delayed landing was likely the flight crew�s perception that the fire had been extinguished due to the disappearance of the primary engine fire warning indications after the fire detection loops were damaged and that a landing as soon as possible was not perceived to be necessary. Contributing to the duration of the fire was the contamination of an engine fire isolation system component which resulted in hydraulic fluid leaking into the designated engine fire zone after the engine was shutdown and the fire button was pressed.","Aircraft - Aircraft power plant - Engine fuel and control - Eng fuel sys wiring - Failure, Aircraft - Aircraft power plant - Engine fuel and control - Eng fuel sys wiring - Design, Aircraft - Aircraft power plant - Engine indicating system - Engine indication sys wiring - Damaged/degraded, Environmental issues - Task environment - Pressures/demands - Personal pressure - Decision related to condition, Organizational issues - Development - Manufacture/production - Document/info production - Manufacturer",20180419X80338,"The flight crew�s delayed landing after an in-flight engine fire, which reignited after both fire bottles were discharged and resulted in substantial damage to an engine pylon. Contributing to the delayed landing was likely the flight crew�s perception that the fire had been extinguished due to the disappearance of the primary engine fire warning indications after the fire detection loops were damaged and that a landing as soon as possible was not perceived to be necessary. Contributing to the duration of the fire was the contamination of an engine fire isolation system component which resulted in hydraulic fluid leaking into the designated engine fire zone after the engine was shutdown and the fire button was pressed.",
DCA18FA144,the failure of the right main landing gear under normal loads due to fatigue cracking in an area subject to an FAA Airworthiness Directive that was not adequately inspected.,"Aircraft - Aircraft systems - Landing gear system - Main landing gear - Inadequate inspection, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Failure",20180420X04304,the failure of the right main landing gear under normal loads due to fatigue cracking in an area subject to an FAA Airworthiness Directive that was not adequately inspected.,
DCA18CA165,the failure of the captain of Delta 212 to ensure adequate clearance while taxiing behind Endeavor 3413.,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot of other aircraft,20180503X92154,the failure of the captain of Delta 212 to ensure adequate clearance while taxiing behind Endeavor 3413.,
DCA18CA169,The maintenance truck driver's failure to give way to the airplane that resulted in the truck colliding with the taxiing aircraft.,Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew,20180507X00658,The maintenance truck driver's failure to give way to the airplane that resulted in the truck colliding with the taxiing aircraft.,
DCA18CA201,the passengers failure to comply with the fasten seatbelt sign when the airplane encountered convective turbulence.,"Personnel issues - Action/decision - Action - Unnecessary action - Passenger, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel",20180611X85348,the passengers failure to comply with the fasten seatbelt sign when the airplane encountered convective turbulence.,
DCA18CA209,a passenger bumping into a flight attendant who was holding a hot liquid.,Personnel issues - Task performance - (general) - (general) - Cabin crew,20180613X62240,a passenger bumping into a flight attendant who was holding a hot liquid.,
DCA18CA219,"the accidental tipping over of a beverage service cart, when there was no turbulence, which caused pots of hot water to burn two flight attendants.",Personnel issues - Task performance - (general) - (general) - Cabin crew,20180618X30834,"the accidental tipping over of a beverage service cart, when there was no turbulence, which caused pots of hot water to burn two flight attendants.",
OPS18IA014,The local controller failing to follow established facility directives and issuing a clearance for takeoff from a runway not under his control.,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel,20180702X05713,The local controller failing to follow established facility directives and issuing a clearance for takeoff from a runway not under his control.,
DCA18CA251,An inadvertent encounter with convective turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20180725X32722,An inadvertent encounter with convective turbulence.,
DCA18CA252,an improper landing flare technique and the lack of the appropriate bounced landing recovery procedure.,Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew,20180727X04921,an improper landing flare technique and the lack of the appropriate bounced landing recovery procedure.,
DCA18CA255,an unexpected encounter with clear air turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on personnel,20180803X35058,an unexpected encounter with clear air turbulence.,
DCA18CA266,The captain's improper control of the airplane during the landing flare.,Personnel issues - Action/decision - Action - Incorrect action performance - Pilot,20180816X41010,"The captain's improper control of the airplane during the landing flare.
�",
DCA18CA283,"a tailstrike caused by inappropriate recovery technique after a bounced landing.  Contributing to the accident was the failure of the radio altimeter, caused by the approach being over calm/flat water, that was not recognized by the flight crew.","Personnel issues - Action/decision - Action - Delayed action - Flight crew, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Aircraft - Aircraft systems - Indicating/recording systems - Central warning - Failure",20180905X90334,"a tailstrike caused by inappropriate recovery technique after a bounced landing.  Contributing to the accident was the failure of the radio altimeter, caused by the approach being over calm/flat water, that was not recognized by the flight crew.",
DCA18LA285,"The flight crew�s failure to adequately monitor the airplane�s airspeed, which led to the captain�s aggressive control inputs to increase airspeed; these aggressive inputs resulted in injuries to three cabin crewmembers.",Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,20180907X10419,"The flight crew�s failure to adequately monitor the airplane�s airspeed, which led to the captain�s aggressive control inputs to increase airspeed; these aggressive inputs resulted in injuries to three cabin crewmembers.",
ENG18IA036,"A right engine turbine uncontainment resulting from failure of the high pressure turbine (HPT) lenticular seal due to a fatigue crack originating from an overheated region at a knife edge tip.

Contributing to the failure was Pratt & Whitney�s decision to introduce the temperature-resistant knife-edge coating as a new-part number lenticular seal on an attrition basis without the option to recoat existing lenticular seals, which delayed implementation of the more durable seal material into the fleet.",Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Design,20180913X21320,"A right engine turbine uncontainment resulting from failure of the high pressure turbine (HPT) lenticular seal due to a fatigue crack originating from an overheated region at a knife edge tip.

Contributing to the failure was Pratt & Whitney�s decision to introduce the temperature-resistant knife-edge coating as a new-part number lenticular seal on an attrition basis without the option to recoat existing lenticular seals, which delayed implementation of the more durable seal material into the fleet.",
DCA18CA289,an inadvertent encounter with wake turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Wake turbulence - Effect on personnel,20180922X71035,an inadvertent encounter with wake turbulence.,
DCA18CA294,a passenger leaving a bag in the aisle that the flight attendant tripped over.,Personnel issues - Miscellaneous - (general) - (general) - Passenger,20181001X90405,a passenger leaving a bag in the aisle that the flight attendant tripped over.,
DCA18CA299,the catering cart striking the flight attendant's foot.,Personnel issues - Action/decision - Action - (general) - Ground crew,20181009X10416,the catering cart striking the flight attendant's foot.,
DCA19CA006,A passenger falling while returning to her seat which resulted in a serious injury.,Personnel issues - Action/decision - Action - (general) - Passenger,20181012X11804,A passenger falling while returning to her seat which resulted in a serious injury.,
DCA19CA207,an encounter with convective turbulence that resulted in�a serious injury to a flight attendant.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20181016X60635,an encounter with convective turbulence that resulted in�a serious injury to a flight attendant.,
DCA19CA010,inadvertent encounter with clear air turbulence resulting in a flight attendant receiving serious injuries.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Ability to respond/compensate",20181017X61323,inadvertent encounter with clear air turbulence resulting in a flight attendant receiving serious injuries.,
DCA19CA035,the captain initiating a cross bleed start while under tow.,Personnel issues - Task performance - Use of equip/info - Use of checklist - Pilot,20181206X02227,"�
the captain initiating a cross bleed start while under tow.",
DCA19IA036,"(1) The flight crewmembers� decision, due to plan continuation bias, to continue the approach despite indications of windshear and a higher-than-expected tailwind and (2)�the flight crew�s misperception of the airplane�s touchdown point, which was farther down the runway than the crew assumed because of the faster-than-expected groundspeed. Contributing to the accident was Southwest Airlines� lack of guidance to prompt flight crews to reassess operator-provided landing data when arrival weather conditions differ from those used in the original landing data calculation.","Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Decision related to condition, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Rain - Decision related to condition, Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew, Personnel issues - Task performance - Planning/preparation - Flight planning/navigation - Flight crew, Organizational issues - Support/oversight/monitoring - Training - (general) - Operator, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Flight crew, Organizational issues - Management - Resources - Adequacy of documents/info - Operator",20181206X45642,"(1) The flight crewmembers� decision, due to plan continuation bias, to continue the approach despite indications of windshear and a higher-than-expected tailwind and (2)�the flight crew�s misperception of the airplane�s touchdown point, which was farther down the runway than the crew assumed because of the faster-than-expected groundspeed. Contributing to the accident was Southwest Airlines� lack of guidance to prompt flight crews to reassess operator-provided landing data when arrival weather conditions differ from those used in the original landing data calculation.",
DCA19CA037,The airplane�s encounter with severe turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation,20181206X51048,The airplane�s encounter with severe turbulence.,
DCA19CA038,an object which fell from an overhead bin struck a flight attendant resulting in a serious injury.,Personnel issues - Action/decision - Action - (general) - Cabin crew,20181206X53303,an object which fell from an overhead bin struck a flight attendant resulting in a serious injury.,
DCA19CA034,The airplane�s encounter with severe turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation,20181206X81036,The airplane�s encounter with severe turbulence.,
DCA19CA066,an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.,"Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Action - Incorrect action performance - Copilot",20181231X63848,an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.,
DCA19LA070,the captain's decision to continue the landing with an unsafe gear indication.,"Personnel issues - Action/decision - Action - Lack of action - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Malfunction",20190130X94935,the captain's decision to continue the landing with an unsafe gear indication.,
DCA19CA075,An inadvertent encounter with clear air turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel,20190205X55712,An inadvertent encounter with clear air turbulence.,
DCA19CA079,"loss of control of the tug by the driver during pushback operations as a result of the contaminated ramp, angle of the towbar, and the airplane engines being at idle thrust.","Personnel issues - Task performance - (general) - (general) - Ground crew, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation, Aircraft - Aircraft handling/service - Towing and taxiing - Towing - Incorrect use/operation",20190208X10711,"loss of control of the tug by the driver during pushback operations as a result of the contaminated ramp, angle of the towbar, and the airplane engines being at idle thrust.",
DCA19CA081,"an inadvertent encounter with convective turbulence that resulted in a TCAS RA, which required an abrupt control input by the flight crew to resolve the conflict.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew",20190214X42337,"an inadvertent encounter with convective turbulence that resulted in a TCAS RA, which required an abrupt control input by the flight crew to resolve the conflict.",
ENG19IA013,A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.,"Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Failure, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Incorrect service/maintenance",20190222X84313,A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.,
DCA19CA088,the airplanes encounter with clear air turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel,20190301X50148,the airplanes encounter with clear air turbulence.,
DCA19FA089,"The flight crew�s decision, due to confirmation bias, to continue the descent below the decision altitude when the runway had not been positively identified. Contributing to the accident were (1) the first officer�s fatigue, which exacerbated his confirmation bias, and (2) the failure of CommutAir pilots who had observed the localizer misalignment to report it to the company and air traffic before the accident.","Personnel issues - Action/decision - Info processing/decision - Expectation/assumption - Flight crew, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Environmental issues - Operating environment - Approach aid coverage/avail - Localizer - Accuracy of related info, Personnel issues - Action/decision - Action - Delayed action - Other, Personnel issues - Action/decision - Action - Lack of action - Flight crew",20190304X65511,"The flight crew�s decision, due to confirmation bias, to continue the descent below the decision altitude when the runway had not been positively identified. Contributing to the accident were (1) the first officer�s fatigue, which exacerbated his confirmation bias, and (2) the failure of CommutAir pilots who had observed the localizer misalignment to report it to the company and air traffic before the accident.",
DCA19CA090,an inadvertent slip and fall that resulted in a serious injury.,Personnel issues - Action/decision - Action - (general) - Cabin crew,20190305X42937,an inadvertent slip and fall that resulted in a serious injury.,
DCA19CA091,an encounter with convective turbulence during descent.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20190306X80709,an encounter with convective turbulence during descent.,
DCA19CA102,failure of the ground crew to maintain visual separation and avoid the holding aircraft.,Personnel issues - Action/decision - Action - Forgotten action/omission - Ground crew,20190311X35306,failure of the ground crew to maintain visual separation and avoid the holding aircraft.,
DCA19CA105,failure of the B737 captain to maintain separation with the airplane stopped on the taxiway.,Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot,20190311X61805,failure of the B737 captain to maintain separation with the airplane stopped on the taxiway.,
DCA19CA130,a collision with a bird.,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment,20190401X22803,a collision with a bird.,
DCA19LA134,"The captain�s excessive left rudder pedal input during the takeoff ground roll, which caused a large heading deviation and a left roll upon rotation that resulted in the left wingtip striking the ground.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Incorrect use/operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Crosswind correction - Incorrect use/operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained",20190411X53531,"The captain�s excessive left rudder pedal input during the takeoff ground roll, which caused a large heading deviation and a left roll upon rotation that resulted in the left wingtip striking the ground. 
�",
DCA19CA137,"missing attach screws on the aft galley oven, which allowed it to become dislodged landing, injuring a flight attendant.",Personnel issues - Task performance - Maintenance - (general) - Maintenance personnel,20190412X45210,"missing attach screws on the aft galley oven, which allowed it to become dislodged landing, injuring a flight attendant.",
DCA19MA143,"An extreme loss of braking friction due to heavy rain and the water depth on the ungrooved runway, which resulted in viscous hydroplaning. Contributing to the accident was the operator�s inadequate guidance for evaluating runway braking conditions and conducting en route landing distance assessments. Contributing to the continuation of an unstabilized approach were 1) the captain�s plan continuation bias and increased workload due to the weather and performing check airman duties and 2) the first officer�s lack of experience.","Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Copilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Rain - Effect on equipment, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Wet surface - Effect on equipment, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Not specified, Personnel issues - Psychological - Cognitive limitation - Cognitive overload - Pilot, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Braking capability - Capability exceeded, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Not attained/maintained, Personnel issues - Action/decision - Action - Forgotten action/omission - Flight crew",20190504X04947,"An extreme loss of braking friction due to heavy rain and the water depth on the ungrooved runway, which resulted in viscous hydroplaning. Contributing to the accident was the operator�s inadequate guidance for evaluating runway braking conditions and conducting en route landing distance assessments. Contributing to the continuation of an unstabilized approach were 1) the captain�s plan continuation bias and increased workload due to the weather and performing check airman duties and 2) the first officer�s lack of experience.",
DCA19CA146,failure of the tug driver to give way to the taxiing airplane.,Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew,20190506X84901,failure of the tug driver to give way to the taxiing airplane.,
DCA19CA151,an encounter with convectively induced turbulence while penetrating cumulus clouds during descent.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20190528X32306,an encounter with convectively induced turbulence while penetrating cumulus clouds during descent.,
DCA19CA153,A buildup of pressure in the coffee filter package resulting in the release of hot coffee and grounds when the pot locking lever was raised.,Environmental issues - Task environment - Physical workspace - Access to equipment/controls - Effect on personnel,20190531X35155,A buildup of pressure in the coffee filter package resulting in the release of hot coffee and grounds when the pot locking lever was raised.,
DCA19CA168,a provisioning truck that impacted the airplane resulting in substantial damage.,Personnel issues - Physical - Impairment/incapacitation - Other loss of consciousness - Ground crew,20190617X11841,a provisioning truck that impacted the airplane resulting in substantial damage.,
DCA19CA167,"an improper landing flare, which resulted in a bounced landing and substantial damage.",Personnel issues - Action/decision - Action - Delayed action - Copilot,20190617X92437,"an improper landing flare, which resulted in a bounced landing and substantial damage.",
DCA19CA169,the early initiation of the landing flare that resulted in a high pitch attitude and tailstrike.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Copilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew",20190619X25315,the early initiation of the landing flare that resulted in a high pitch attitude and tailstrike.,
DCA19CA186,failure of the ground crew to maintain clearance from the parked airplane during pushback.,"Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew, Aircraft - Aircraft handling/service - Towing and taxiing - Towing - Incorrect use/operation",20190726X91707,failure of the ground crew to maintain clearance from the parked airplane during pushback.,
DCA19CA189,An encounter with convective turbulence during cruise flight.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,20190805X55405,An encounter with convective turbulence during cruise flight.,
DCA19CA192,the ramp controller directing a Boeing 737 to hold in a location that was marked for a regional jet.,"Organizational issues - Support/oversight/monitoring - Documentation/record keeping - (general) - Operator, Personnel issues - Task performance - Communication (personnel) - Issuing instructions - Ground crew",20190808X43724,the ramp controller directing a Boeing 737 to hold in a location that was marked for a regional jet.,
DCA19LA193,Encountering gusty conditions at a low altitude during landing and the crew�s decision to do a go-around at a low altitude with an excessive rotation rate.,"Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Decision related to condition, Personnel issues - Action/decision - Action - Delayed action - Pilot",20190808X62316,Encountering gusty conditions at a low altitude during landing and the crew�s decision to do a go-around at a low altitude with an excessive rotation rate.,
